2007/01/01 9,11,27,28,38
2007/01/02 2,12,33,36,37
2007/01/03 22,23,27,29,30
2007/01/04 3,9,23,32,39
2007/01/05 9,12,13,15,26
2007/01/08 8,11,13,24,39
2007/01/09 5,8,14,17,28
2007/01/10 5,30,34,35,38
2007/01/11 7,15,18,20,37
2007/01/12 6,21,23,26,33
2007/01/15 1,13,15,20,25
2007/01/16 6,13,27,31,32
2007/01/17 11,25,26,27,30
2007/01/18 10,15,20,22,28
2007/01/19 10,11,17,21,38
2007/01/22 10,13,15,28,39
2007/01/23 7,17,24,30,39
2007/01/24 3,4,15,23,34
2007/01/25 8,10,14,21,24
2007/01/26 6,8,10,36,37
2007/01/29 3,8,11,17,38
2007/01/30 5,10,12,15,27
2007/01/31 3,4,15,29,34
2007/02/01 13,18,25,26,36
2007/02/02 6,11,12,15,35
2007/02/05 3,16,19,20,31
2007/02/06 2,13,14,29,39
2007/02/07 7,11,23,32,35
2007/02/08 5,10,31,37,39
2007/02/09 7,16,20,25,27
2007/02/12 13,15,16,23,34
2007/02/13 2,22,28,29,34
2007/02/14 1,15,20,23,28
2007/02/15 6,24,27,28,33
2007/02/16 24,28,29,32,37
2007/02/19 9,12,24,34,37
2007/02/20 4,6,17,31,36
2007/02/21 8,18,20,32,34
2007/02/22 9,17,20,21,37
2007/02/23 9,12,16,19,25
2007/02/26 6,20,23,25,28
2007/02/27 9,12,19,23,34
2007/02/28 9,11,21,22,38
2007/03/01 2,3,12,18,31
2007/03/02 7,22,23,33,37
2007/03/05 5,11,19,21,25
2007/03/06 12,16,17,19,34
2007/03/07 2,12,19,30,34
2007/03/08 7,11,20,31,34
2007/03/09 2,17,30,31,38
2007/03/12 8,15,25,27,38
2007/03/13 6,9,16,18,22
2007/03/14 6,9,16,37,39
2007/03/15 1,7,21,27,33
2007/03/16 1,2,18,26,38
2007/03/19 5,20,24,28,39
2007/03/20 2,10,14,18,22
2007/03/21 6,14,34,37,38
2007/03/22 7,25,26,34,36
2007/03/23 12,19,20,29,32
2007/03/26 26,27,32,33,36
2007/03/27 11,20,36,37,38
2007/03/28 9,25,28,34,37
2007/03/29 8,22,23,27,29
2007/03/30 6,19,22,33,37
2007/04/02 1,7,21,33,35
2007/04/03 10,11,13,29,31
2007/04/04 1,19,30,34,35
2007/04/05 7,21,22,23,36
2007/04/06 4,7,12,33,34
2007/04/09 11,30,32,34,39
2007/04/10 6,8,9,30,39
2007/04/11 25,26,31,37,39
2007/04/12 1,9,11,17,25
2007/04/13 22,24,27,32,37
2007/04/16 14,18,26,28,36
2007/04/17 2,11,24,31,32
2007/04/18 3,12,22,38,39
2007/04/19 1,14,20,22,36
2007/04/20 3,6,22,37,39
2007/04/23 2,7,10,13,30
2007/04/24 1,4,6,9,16
2007/04/25 13,15,19,29,37
2007/04/26 5,7,15,32,39
2007/04/27 8,10,21,23,39
2007/04/30 4,7,12,17,29
2007/05/01 1,10,22,34,39
2007/05/02 4,23,34,37,39
2007/05/03 1,5,18,25,37
2007/05/04 7,8,9,12,14
2007/05/07 4,9,18,27,28
2007/05/08 2,10,18,23,33
2007/05/09 3,15,30,35,36
